id,status_code,status_detail,partial_completion,is_escalating,new_eta,original_eta,actual_receive_date,service_type
136,2.0,,1.0,,2017-01-09 10:10:00.000,2017-01-20 10:10:00.000,2017-01-04 06:18:00.000,1.0
2362,1.0,,1.0,False,2017-02-09 16:34:00.000,2017-01-23 16:34:00.000,2017-02-12 13:50:00.000,1.0
2566,2.0,,1.0,False,2017-02-19 21:08:00.000,2017-02-20 21:08:00.000,2017-01-16 09:54:00.000,1.0
356,1.0,,1.0,False,2017-01-22 11:26:00.000,2017-01-27 11:26:00.000,2017-02-19 17:10:00.000,1.0
2531,1.0,,1.0,False,2017-04-28 19:16:00.000,2017-02-06 19:16:00.000,2017-01-21 09:45:00.000,1.0
818,0.0,7.0,0.0,False,2017-02-05 22:48:00.000,2017-02-08 22:48:00.000,2017-02-11 19:07:00.000,1.0
590,2.0,,1.0,False,2017-02-02 19:26:00.000,2017-02-05 19:26:00.000,2017-02-02 08:22:00.000,1.0
1658,1.0,,0.0,,2017-05-24 21:48:00.000,2017-03-16 21:48:00.000,2017-03-16 18:12:00.000,1.0
452,2.0,,1.0,False,2017-03-06 09:53:00.000,2017-03-09 09:53:00.000,2017-03-16 22:35:00.000,1.0
835,0.0,7.0,0.0,,2017-05-03 13:38:00.000,2017-02-21 13:38:00.000,2017-03-01 07:49:00.000,1.0
1986,0.0,2.0,0.0,False,2017-05-13 04:41:00.000,2017-02-27 04:41:00.000,2017-03-16 09:39:00.000,1.0
190,1.0,,1.0,False,2017-02-16 05:19:00.000,2017-02-17 05:19:00.000,2017-02-19 23:20:00.000,1.0
1463,1.0,,0.0,False,2017-04-19 09:00:00.000,2017-02-21 09:00:00.000,2017-03-16 14:56:00.000,1.0
1652,1.0,,1.0,False,2017-02-18 16:02:00.000,2017-02-18 16:02:00.000,2017-03-13 17:05:00.000,1.0
931,2.0,,1.0,,2017-03-08 11:32:00.000,2017-03-14 11:32:00.000,2017-03-10 23:49:00.000,1.0
2105,2.0,,1.0,,2017-02-27 11:29:00.000,2017-03-06 11:29:00.000,2017-02-28 19:29:00.000,1.0
487,1.0,,1.0,,2017-02-25 18:30:00.000,2017-02-26 18:30:00.000,2017-03-26 17:17:00.000,1.0
166,0.0,7.0,0.0,False,2017-06-13 02:14:00.000,2017-04-07 02:14:00.000,2017-03-10 20:51:00.000,1.0
2368,0.0,2.0,0.0,False,2017-06-04 15:23:00.000,2017-03-29 15:23:00.000,2017-03-31 10:27:00.000,1.0
470,1.0,,1.0,False,2017-03-31 00:37:00.000,2017-04-06 00:37:00.000,2017-03-27 04:09:00.000,1.0
1511,1.0,,0.0,False,2017-05-28 15:41:00.000,2017-04-10 15:41:00.000,2017-02-27 18:04:00.000,1.0
2237,1.0,,1.0,False,2017-03-07 17:39:00.000,2017-03-08 17:39:00.000,2017-03-11 08:42:00.000,1.0
2285,2.0,,1.0,,2017-03-03 02:40:00.000,2017-03-10 02:40:00.000,2017-03-12 23:19:00.000,1.0
95,1.0,,1.0,False,2017-04-05 08:42:00.000,2017-03-21 08:42:00.000,2017-03-02 17:51:00.000,1.0
399,0.0,7.0,0.0,False,2017-05-08 09:45:00.000,2017-03-08 09:45:00.000,2017-03-04 19:14:00.000,1.0
1137,1.0,,0.0,False,2017-04-26 05:04:00.000,2017-02-21 05:04:00.000,2017-04-08 11:20:00.000,1.0
2604,2.0,,1.0,False,2017-03-22 20:25:00.000,2017-03-29 20:25:00.000,2017-04-03 12:06:00.000,1.0
2174,1.0,,1.0,,2017-04-02 10:53:00.000,2017-04-07 10:53:00.000,2017-03-26 12:21:00.000,1.0
2174,1.0,,1.0,False,2017-04-11 10:52:00.000,2017-04-16 10:52:00.000,2017-04-09 08:49:00.000,1.0
1109,1.0,,1.0,False,2017-04-12 09:06:00.000,2017-04-11 09:06:00.000,2017-04-07 07:50:00.000,1.0
2591,0.0,7.0,0.0,False,2017-05-19 08:54:00.000,2017-03-11 08:54:00.000,2017-03-11 10:39:00.000,1.0
1587,2.0,,1.0,,2017-03-25 14:55:00.000,2017-03-31 14:55:00.000,2017-03-03 07:18:00.000,1.0
565,2.0,,1.0,,2017-03-26 15:19:00.000,2017-03-31 15:19:00.000,2017-03-19 11:45:00.000,1.0
793,1.0,,0.0,False,2017-04-29 10:37:00.000,2017-01-25 10:37:00.000,2017-03-29 08:29:00.000,1.0
897,2.0,,1.0,,2017-04-09 18:51:00.000,2017-04-15 18:51:00.000,2017-04-04 04:35:00.000,1.0
2102,1.0,,1.0,False,2017-03-12 09:11:00.000,2017-03-06 09:11:00.000,2017-03-24 06:56:00.000,1.0
2145,0.0,7.0,0.0,False,2017-05-02 14:35:00.000,2017-02-24 14:35:00.000,2017-04-13 00:58:00.000,1.0
